title,source,url,worth
Vladimir Putin Net Worth,"Oil, Gas, Investments",https://www.therichest.com/celebnetworth/politician/president/vladimir-putin-net-worth/,$200 Billion
Jeff Bezos Net Worth,Internet retailing (Amazon),https://www.therichest.com/celebnetworth/celebrity-business/tech-billionaire/jeff-bezos-net-worth/,$196 Billion
Elon Musk Net Worth,"SpaceX, Tesla Motors and PayPal",https://www.therichest.com/celebnetworth/celebrity-business/ceo/elon-musk-net-worth/,$163.9 Billion
The Mars Family Net Worth,"Food (Candy, Pet Food, Chocolates)",https://www.therichest.com/celebnetworth/celebrity-business/retailers/the-mars-family-net-worth/,$127 Billion
Bill Gates Net Worth,Microsoft ,https://www.therichest.com/celebnetworth/celebrity-business/tech-billionaire/bill-gates-net-worth/,$125.9 Billion
Bernard Arnault Net Worth,"LVMH (Christian Dior SA, Louis Vuitton)",https://www.therichest.com/celebnetworth/celebrity-business/men/bernard-arnault-net-worth/,$122 Billion
Mark Zuckerberg Net Worth,Facebook,https://www.therichest.com/celebnetworth/celebrity-business/tech-billionaire/mark-zuckerberg-net-worth/,$101 Billion
Warren Buffett Net Worth,Business - Berkshire Hathaway,https://www.therichest.com/celebnetworth/celebrity-business/men/warren-buffett-net-worth/,$100.3 Billion
Sergey Brin Net Worth,Google,https://www.therichest.com/celebnetworth/celebrity-business/tech-billionaire/sergey-brin-net-worth/,$97.25 Billion
Larry Page Net Worth,"Alphabet Company -Google, Youtube, etc",https://www.therichest.com/celebnetworth/celebrity-business/tech-billionaire/larry-page-net-worth/,$91.8 Billion
Larry Ellison Net Worth,"Oracle, Other Investments",https://www.therichest.com/celebnetworth/celebrity-business/tech-billionaire/larry-ellison-net-worth/,$91.2 Billion
Amancio Ortega Net Worth,Inditex,https://www.therichest.com/celebnetworth/celebrity-business/men/amancio-ortega-net-worth/,$82 Billion
Carlos Slim Net Worth,"América Móvil, Inversora Carso",https://www.therichest.com/celebnetworth/celebrity-business/tech-billionaire/carlos-slim-net-worth/,$60.35 Billion
Michael Bloomberg Net Worth,Bloomberg L.P.,https://www.therichest.com/celebnetworth/politician/michael-bloomberg-net-worth/,$59 Billion
David Koch Net Worth,"Diversified, Inherited",https://www.therichest.com/celebnetworth/celebrity-business/men/david-koch-net-worth/,$50.5 Billion
Mukesh Ambani Net Worth,"Oil & Gas, Petrochemicals",https://www.therichest.com/celebnetworth/celebrity-business/men/mukesh-ambani-net-worth/,$57 Billion
Charles Koch Net Worth, Koch Industries,https://www.therichest.com/celebnetworth/celebrity-business/ceo/charles-koch-net-worth/,$54.2 Billion
S. Robson Walton Net Worth,"Wal-Mart, Inheritance",https://www.therichest.com/celebnetworth/celebrity-business/retailers/robson-walton-net-worth/,$53.5 Billion
Jim Walton Net Worth,"Wal-Mart, Inheritance",https://www.therichest.com/celebnetworth/celebrity-business/ceo/jim-walton-net-worth/,$53.3 Billion
Steve Ballmer Net Worth,Microsoft,https://www.therichest.com/celebnetworth/celebrity-business/tech-billionaire/steve-ballmer-net-worth/,$53.3 Billion
Ingvar Kamprad Net Worth,IKEA,https://www.therichest.com/celebnetworth/celebrity-business/men/ingvar-kamprad-net-worth/,$52.8 Billion
Alice Walton Net Worth,Wal-Mart,https://www.therichest.com/celebnetworth/celebrity-business/retailers/alice-walton-net-worth/,$52.3 Billion
Liliane Bettencourt Net Worth,Comestic (L'Oreal),https://www.therichest.com/celebnetworth/celebrity-business/men/liliane-bettencourt-net-worth/,$42.3 Billion
John Mars Net Worth,"Candy (M&M's, 3 Musketeers, Snickers)",https://www.therichest.com/celebnetworth/celebrity-business/men/john-mars-net-worth/,$41.6 Billion
Jacqueline Mars Net Worth,Business,https://www.therichest.com/celebnetworth/celebrity-business/women/jacqueline-mars-net-worth/,$41.6 Billion
Jack Ma Net Worth,"Internet, Business and Company",https://www.therichest.com/celebnetworth/celebrity-business/entrepreneurs/jack-ma-net-worth/,$41.1 Billion
Ma Huateng Net Worth,Business (Tencent Holdings),https://www.therichest.com/celebnetworth/celebrity-business/men/ma-huateng-net-worth/,$34.6 Billion
Francois Pinault Net Worth,Retail,https://www.therichest.com/celebnetworth/celebrity-business/men/francois-pinault-net-worth/,$33.7 Billion
Maria Franca Fissolo Net Worth,"Nutella, Chocolates",https://www.therichest.com/celebnetworth/celebrity-business/women/maria-franca-fissolo-net-worth/,$33.4 Billion
Phil Knight Net Worth,"Nike, Self-Made",https://www.therichest.com/celebnetworth/celebrity-business/men/phil-knight-net-worth/,$31.9 Billion
Sheldon Adelson Net Worth,"Casino, Leisure",https://www.therichest.com/celebnetworth/celebrity-business/men/sheldon-adelson-net-worth/,$31.4 Billion
Tadashi Yanai Net Worth,Retail,https://www.therichest.com/celebnetworth/celebrity-business/ceo/tadashi-yanai-net-worth/,$30.4 Billion
Giovanni Ferrero Net Worth,Confectionery Company,https://www.therichest.com/celebnetworth/celebrity-business/men/giovanni-ferrero-net-worth/,$30.3 Billion
Hui Ka Yan Net Worth,Real Estate,https://www.therichest.com/celebnetworth/celebrity-business/men/hui-ka-yan-net-worth/,$30.2 Billion
Bhumibol Adulyadej King Of Thailand Net Worth,King of Thailand,https://www.therichest.com/celebnetworth/politician/royal/bhumidol-adulyadej-king-of-thailand-net-worth/,$30 Billion
Michael Dell Net Worth,"Dell Inc., Self-made",https://www.therichest.com/celebnetworth/celebrity-business/tech-billionaire/michael-dell-net-worth/,$29.9 Billion
Li Ka-shing Net Worth," Hutchison Whampoa Limited (HWL), Cheung Kong Holdings",https://www.therichest.com/celebnetworth/celebrity-business/men/li-ka-shing-net-worth/,$27.7 Billion
Gerard Wertheimer Net Worth,Chanel,https://www.therichest.com/celebnetworth/celebrity-business/men/gerard-wertheimer-net-worth/,$27.4 Billion
Alain Wertheimer Net Worth,Chanel,https://www.therichest.com/celebnetworth/celebrity-business/men/alain-wertheimer-net-worth/,$27.4 Billion
Alain and Gerard Wertheimer Net Worth,Chanel,https://www.therichest.com/celebnetworth/celebrity-business/men/alain-and-gerard-wertheimer-net-worth/,$27.4 Billion
Paul Allen Net Worth,"Microsoft, Investments, Self-made",https://www.therichest.com/celebnetworth/celebrity-business/tech-billionaire/paul-allen-net-worth/,$27.1 Billion
David Thomson Net Worth,"Media, Thomson Reuters",https://www.therichest.com/celebnetworth/celebrity-business/men/david-thomson-net-worth/,$27 Billion
Lee Shau Kee Net Worth,Henderson Land,https://www.therichest.com/celebnetworth/celebrity-business/men/lee-shau-kee-net-worth/,$26.2 Billion
Maria-Elisabeth and Georg Schaeffler Net Worth,Ball Bearings,https://www.therichest.com/celebnetworth/celebrity-business/women/maria-elisabeth-and-georg-schaeffler-net-worth/,$26.1 Billion
Francois-Henri Pinault Net Worth,Pinault-Printemps-Redoute (PPR),https://www.therichest.com/celebnetworth/celebrity-business/men/francois-henri-pinault-net-worth/,$25.5 Billion
Len Blavatnik Net Worth,"Access Industries, Diversified",https://www.therichest.com/celebnetworth/celebrity-business/men/len-blavatnik-net-worth/,$25.3 Billion
Rupert Murdoch Net Worth,Media (News Corporation),https://www.therichest.com/celebnetworth/celebrity-business/men/rupert-murdoch-net-worth/,$24.1 Billion
Leonid Mikhelson Net Worth,"Gas, Chemicals",https://www.therichest.com/celebnetworth/celebrity-business/men/leonid-mikhelson-net-worth/,$23.8 Billion
Jorge Paulo Lemann Net Worth,"Banking, Anheuser-Busch Inbev",https://www.therichest.com/celebnetworth/celebrity-business/finance/jorge-paulo-lemann-net-worth/,$23.7 Billion
Yang Huiyan Net Worth,Business (Real Estate),https://www.therichest.com/celebnetworth/celebrity-business/women/yang-huiyan-net-worth/,$23.6 Billion
Dieter Schwarz Net Worth,"Retail, Lidl and Kaufland",https://www.therichest.com/celebnetworth/celebrity-business/men/dieter-schwarz-net-worth/,$23.2 Billion
Khalifa bin Zayed Al Nahyan Net Worth,"Oil, Real Estate, Inheritance",https://www.therichest.com/celebnetworth/politician/royal/khalifa-bin-zayed-al-nahyan-net-worth/,$23 Billion
Pallonji Mistry Net Worth,Construction Company,https://www.therichest.com/celebnetworth/celebrity-business/men/pallonji-mistry-net-worth/,$22.9 Billion
Serge Dassault Net Worth,Aviation,https://www.therichest.com/celebnetworth/celebrity-business/ceo/serge-dassault-net-worth/,$22.5 Billion
Azim Premji Net Worth,"Software (Wipro) , Inherited",https://www.therichest.com/celebnetworth/celebrity-business/tech-billionaire/azim-premji-net-worth/,$22.2 Billion
Laurene Powell Jobs Net Worth,"Apple, Disney (Inheritance)",https://www.therichest.com/celebnetworth/celebrity-business/women/laurene-powell-jobs-net-worth/,$21.2 Billion
Vladimir Potanin Net Worth,Metals,https://www.therichest.com/celebnetworth/celebrity-business/men/vladimir-potanin-net-worth/,$21.1 Billion
Vladimir Lisin Net Worth,"Steel, Transport",https://www.therichest.com/celebnetworth/celebrity-business/men/vladimir-lisin-net-worth/,$21.1 Billion
Carl Icahn Net Worth,Adventrix Pharmaceuticals and Vector Group,https://www.therichest.com/celebnetworth/celebrity-business/men/carl-icahn-net-worth/,$20.1 Billion
Sir Evelyn de Rothschild Net Worth,Inheritance and Finance,https://www.therichest.com/celebnetworth/celebrity-business/men/sir-evelyn-de-rothschild-net-worth/,$20 Billion
Sultan Hassanal Bolkiah Net Worth ,"Oil, Gas industry ",https://www.therichest.com/celebnetworth/politician/royal/hassanal-bolkiah-net-worth/,$20 Billion
Leonardo Del Vecchio Net Worth,Business (Luxottica),https://www.therichest.com/celebnetworth/celebrity-business/men/leonardo-del-vecchio-net-worth/,$19.6 Billion
Susanne Klatten Net Worth,"BMW, Pharmaceuticals, Inherited",https://www.therichest.com/celebnetworth/celebrity-business/women/susanne-klatten-net-worth/,$19 Billion
Leonard Lauder Net Worth,Estee Lauder,https://www.therichest.com/celebnetworth/celebrity-business/men/leonard-lauder-net-worth/,$19 Billion
Alexey Mordashov Net Worth,Business and Company,https://www.therichest.com/celebnetworth/celebrity-business/ceo/alexey-mordashov-net-worth/,$18.7 Billion
Joseph Safra Net Worth,Banking,https://www.therichest.com/celebnetworth/celebrity-business/men/joseph-safra-net-worth/,$18.3 Billion
Sheikh Mohammed bin Rashid al Maktoum Net Worth,Politics,https://www.therichest.com/celebnetworth/politician/sheikhs/sheikh-mohammed-bin-rashid-al-maktoum-net-worth/,$18 Billion
Masayoshi Son Net Worth,"Internet, Telecom",https://www.therichest.com/celebnetworth/celebrity-business/men/masayoshi-son-net-worth/,$17.7 Billion
James Ratcliffe Net Worth,Chemicals,https://www.therichest.com/celebnetworth/celebrity-business/ceo/james-ratcliffe-net-worth/,$17.4 Billion
Robert Kuok Net Worth,"Diversified, Shangri-La Hotels and Resorts Chain",https://www.therichest.com/celebnetworth/celebrity-business/men/robert-kuok-net-worth/,$17.3 Billion
Charlene de Carvalho-Heineken Net Worth,Heineken,https://www.therichest.com/celebnetworth/celebrity-business/women/charlene-de-carvalho-heineken-net-worth/,$17.3 Billion
Dhanin Chearavanont Net Worth,Food,https://www.therichest.com/celebnetworth/celebrity-business/men/dhanin-chearavanont-net-worth/,$17.3 Billion
Alisher Usmanov Net Worth,Steel,https://www.therichest.com/celebnetworth/celebrity-business/men/alisher-usmanov-net-worth/,$17.2 Billion
Vagit Alekperov Net Worth,Lukoil,https://www.therichest.com/celebnetworth/celebrity-business/men/vagit-alekperov-net-worth/,$17.2 Billion
Donald Bren Net Worth,Real Estate,https://www.therichest.com/celebnetworth/celebrity-business/men/donald-bren-net-worth/,$17.2 Billion
Abigail Johnson Net Worth,"Fidelity Investments, Money Management",https://www.therichest.com/celebnetworth/celebrity-business/women/abigail-johnson-net-worth/,$17.2 Billion
He Xiangjian Net Worth,Appliances,https://www.therichest.com/celebnetworth/celebrity-business/men/he-xiangjian-net-worth/,$17 Billion
Gennady Timchenko Net Worth,"Oil, Gas",https://www.therichest.com/celebnetworth/celebrity-business/men/gennady-timchenko-net-worth/,$17 Billion
Anne Cox Chambers Net Worth,Media,https://www.therichest.com/celebnetworth/celebrity-business/women/anne-cox-chambers-net-worth/,$17 Billion
Ray Dalio Net Worth,Bridgewater Associates,https://www.therichest.com/celebnetworth/celebrity-business/men/ray-dalio-net-worth/,$16.9 Billion
Lee Kun-Hee Net Worth,"Electronics, Insurance",https://www.therichest.com/celebnetworth/celebrity-business/men/lee-kun-hee-net-worth/,$16.8 Billion
Takemitsu Takizaki Net Worth,Sensors,https://www.therichest.com/celebnetworth/celebrity-business/men/takemitsu-takizaki-net-worth/,$16.8 Billion
Zhang Zhidong Net Worth,Internet,https://www.therichest.com/celebnetworth/celebrity-business/men/zhang-zhidong-net-worth/,$16.8 Billion
Ronald Perelman Net Worth,Leverage Buyout,https://www.therichest.com/celebnetworth/celebrity-business/investors/ronald-perelman-net-worth/,$16.8 Billion
Heinz Hermann Thiele Net Worth,Business,https://www.therichest.com/celebnetworth/celebrity-business/men/heinz-hermann-thiele-net-worth/,$16.7 Billion
Ernesto Bertarelli Net Worth,"Biotech, Investments",https://www.therichest.com/celebnetworth/celebrity-business/entrepreneurs/ernesto-bertarelli-net-worth/,$16.7 Billion
Ernesto and Kirsty Bertarelli Net Worth,Pharmaceuticals,https://www.therichest.com/celebnetworth/celebrity-business/tech-billionaire/ernesto-and-kirsty-bertarelli-net-worth/,$16.7 Billion
Lui Che Woo Net Worth,Casinos,https://www.therichest.com/celebnetworth/celebrity-business/men/lui-che-woo-net-worth/,$16.7 Billion
Stephen Schwarzman Net Worth,Business and Company,https://www.therichest.com/celebnetworth/celebrity-business/men/stephen-schwarzman-net-worth/,$16.7 Billion
James Simons Net Worth,Hedge Funds,https://www.therichest.com/celebnetworth/celebrity-business/hedge-fund/james-simons-net-worth/,$16.7 Billion
Charoen Sirivadhanabhakdi Net Worth,Drinks,https://www.therichest.com/celebnetworth/celebrity-business/entrepreneurs/charoen-sirivadhanabhakdi-net-worth/,$16.5 Billion
Cheng Yu-Tung Net Worth,"Real Estate, Jewelry",https://www.therichest.com/celebnetworth/celebrity-business/men/cheng-yu-tung-net-worth/,$16.5 Billion
R. Budi Hartono Net Worth,"Banking, Tobacco",https://www.therichest.com/celebnetworth/celebrity-business/men/r-budi-hartono-net-worth/,$16.5 Billion
Wang Jianlin Net Worth,Business (Dalian Wanda Group),https://www.therichest.com/celebnetworth/celebrity-business/men/wang-jianlin-net-worth/,$16.3 Billion
Thomas Peterffy Net Worth,Interactive Brokers,https://www.therichest.com/celebnetworth/celebrity-business/men/thomas-peterffy-net-worth/,$16.3 Billion
Gina Rinehart Net Worth,Mining,https://www.therichest.com/celebnetworth/celebrity-business/women/gina-rinehart-net-worth/,$16.2 Billion
Stefan Quandt Net Worth,Business and Company,https://www.therichest.com/celebnetworth/celebrity-business/stefan-quandt-net-worth/,$16.2 Billion
Aliko Dangote Net Worth,"Sugar, Flour, Cement , Self-made",https://www.therichest.com/celebnetworth/celebrity-business/men/aliko-dangote-net-worth/,$16.1 Billion
Stefan Persson Net Worth,Business and Real Estate,https://www.therichest.com/celebnetworth/celebrity-business/men/stefan-persson-net-worth/,$16.1 Billion
Iris Fontbona Net Worth,Mining,https://www.therichest.com/celebnetworth/celebrity-business/women/iris-fontbona-net-worth/,$16 Billion
